tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"rock, alternative, indie, alternative_rock, 90s, grunge",Rock,2013,267266,0.77,0.806,3,-9.414,1,0.0329,0.0153,0.614,0.0542,0.963,126.888,4
"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Rock,2010,167906,0.47,0.796,8,-3.277,0,0.0336,0.362,1.11e-06,0.133,0.215,113.108,3
"rock, alternative, alternative_rock, hard_rock",Rock,2001,223826,0.44,0.763,10,-5.023,1,0.0337,0.00119,0.0,0.108,0.538,172.159,4
"rock, classic_rock, psychedelic, 60s, psychedelic_rock",Rock,2012,412280,0.424,0.619,4,-10.116,0,0.0306,0.278,0.0,0.0585,0.523,130.514,4
"rock, classic_rock, hard_rock, 80s, british, 70s",Rock,2006,121706,0.69,0.44,11,-8.528,0,0.0768,0.654,0.0,0.538,0.494,81.234,4
"rock, alternative, alternative_rock, punk, punk_rock, 90s",Rock,2005,179946,0.512,0.945,1,-4.204,1,0.0347,0.006,3.25e-05,0.0581,0.812,99.552,4
"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Rock,2000,157333,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4
"rock, alternative, indie, pop, alternative_rock, british, 00s, britpop",Rock,2008,221306,0.332,0.587,1,-7.905,0,0.0362,0.0571,0.00162,0.0864,0.109,76.051,4
"rock, alternative, pop, alternative_rock, love, pop_rock",RnB,2010,233173,0.464,0.585,4,-7.889,1,0.0283,0.00948,0.0,0.131,0.0716,82.852,4
"rock, alternative, indie, pop, indie_rock, acoustic, emo, love, beautiful, mellow",Rock,2006,247060,0.451,0.261,2,-12.467,1,0.029,0.981,3.21e-06,0.659,0.372,100.46,4
"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Rock,2006,202013,0.35,0.868,11,-4.903,0,0.171,0.0357,0.0,0.13,0.415,169.631,4
"rock, pop, classic_rock, british, psychedelic, 60s, oldies",Jazz,2014,206091,0.515,0.747,9,-4.369,0,0.0434,0.0321,5.37e-05,0.313,0.365,178.134,4
"rock, alternative, metal, alternative_rock, nu_metal",Rock,2007,205613,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4
"rock, alternative, alternative_rock, 90s, grunge",Rock,1993,149706,0.682,0.405,6,-11.86,1,0.028,0.151,0.387,0.27,0.846,113.719,4
"rock, classic_rock, british, 60s",Electronic,1995,528693,0.479,0.874,9,-8.845,1,0.0723,0.333,0.424,0.686,0.834,118.657,4
"rock, classic_rock, hard_rock, british, 70s",Country,2003,145066,0.574,0.926,11,-10.79,1,0.0562,0.00031,0.478,0.386,0.609,113.097,4
