tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"electronic, instrumental, dance, chillout, house, techno, electro, french",Folk,2001,227866,0.669,0.736,4,-11.424,0,0.0464,0.264,0.813,0.319,0.277,119.887,4
"electronic, indie, pop, indie_pop, synthpop",Electronic,2012,263120,0.569,0.764,11,-5.469,1,0.0366,0.0328,0.0,0.293,0.425,101.028,4
"electronic, ambient, instrumental, dance, chillout, house, techno, electro, downtempo, french",Electronic,2001,344893,0.607,0.689,9,-13.905,0,0.0441,0.455,0.938,0.116,0.118,106.894,4
"electronic, indie, pop, female_vocalists, dance, british, indie_pop",Pop,2010,178053,0.504,0.781,5,-7.061,0,0.0348,0.356,2.58e-05,0.0965,0.628,149.817,4
"electronic, female_vocalists, experimental, synthpop",Rock,2014,250120,0.685,0.558,2,-7.461,1,0.0327,0.124,0.871,0.112,0.524,155.989,4
"electronic, pop, female_vocalists, dance",Electronic,2009,191973,0.8,0.716,6,-5.253,0,0.0566,0.141,0.000183,0.0651,0.735,114.962,4
"electronic, pop, female_vocalists, dance",Pop,2009,172440,0.791,0.903,2,-5.258,1,0.163,0.0186,0.0509,0.288,0.674,120.075,4
"electronic, ambient, chillout, trip_hop, downtempo, chill",Electronic,1998,381666,0.56,0.455,1,-11.221,0,0.0304,0.00575,0.757,0.219,0.44,168.081,4
"electronic, pop, female_vocalists, dance, american, 00s",Pop,2008,211426,0.766,0.643,11,-5.043,1,0.23,0.0948,0.0,0.0797,0.81,114.982,4
"electronic, dance, house, techno, electro, french",Electronic,2001,201800,0.653,0.869,8,-9.393,1,0.217,0.00435,0.413,0.334,0.515,125.207,4
"electronic, pop, female_vocalists, dance",Pop,2009,222106,0.818,0.696,5,-3.339,1,0.0518,0.0336,4.58e-06,0.034,0.966,127.015,4
"electronic, alternative, female_vocalists, chillout, trip_hop, beautiful",Electronic,2008,270946,0.471,0.484,9,-9.414,0,0.0317,0.925,0.499,0.0987,0.236,74.982,4
"electronic, electro, chill",Electronic,2013,257413,0.537,0.775,9,-7.988,0,0.0581,0.0183,0.0563,0.336,0.424,91.023,4
"electronic, alternative, indie, dance, electro",Electronic,2007,390013,0.722,0.894,7,-5.903,1,0.0325,0.0418,0.00374,0.11,0.396,113.003,4
"electronic, pop, female_vocalists, dance, british, new_wave, electro, synthpop",Metal,2010,248320,0.631,0.971,8,0.038,0,0.0463,0.00117,0.0,0.103,0.855,150.036,4
"electronic, alternative, indie, indie_rock, british, indie_pop",Rock,2012,180706,0.716,0.469,2,-10.033,1,0.0484,0.358,0.0678,0.125,0.498,116.953,4
"electronic, pop, female_vocalists, dance",Metal,2009,249253,0.696,0.794,9,-4.546,0,0.0475,0.00174,0.0,0.544,0.648,120.009,4
"electronic, ambient, chillout, soundtrack, trip_hop, downtempo, love, beautiful, french, mellow, lounge, chill",Electronic,2004,210946,0.346,0.385,7,-11.771,0,0.0288,0.233,0.788,0.324,0.14,142.997,4
"electronic, indie, dance, electro, synthpop",Electronic,2008,242546,0.683,0.87,0,-7.197,0,0.028,0.00441,9.82e-05,0.264,0.519,119.983,4
"electronic, pop, female_vocalists, dance",RnB,2009,170293,0.771,0.752,10,-3.284,0,0.0472,0.0135,0.000159,0.0756,0.85,119.089,4
"electronic, alternative, female_vocalists, ambient, experimental, 90s, trip_hop, beautiful",Rock,2002,321533,0.515,0.438,7,-13.011,0,0.0325,0.0249,0.00128,0.382,0.0357,134.941,4
"electronic, ambient, chillout, trip_hop, downtempo, chill",Jazz,1998,250866,0.599,0.21,1,-19.329,1,0.0354,0.322,0.48,0.093,0.32,124.866,4
"electronic, pop, female_vocalists, dance, house, rnb",Reggae,2012,240640,0.715,0.846,0,-6.524,0,0.0878,0.0023,0.0366,0.595,0.371,127.983,4
"electronic, dance, trance, techno",Rock,2009,442536,0.589,0.941,0,-9.008,1,0.0398,0.0059,0.847,0.0843,0.334,139.849,4
"electronic, alternative, indie, pop, female_vocalists, experimental, 90s, trip_hop",Rock,1993,252400,0.688,0.638,7,-14.671,1,0.0364,0.0387,0.0242,0.103,0.549,109.459,4
"electronic, dance, house, electro, french",Electronic,2007,236546,0.66,0.924,8,-3.908,1,0.302,0.0105,0.000653,0.262,0.672,119.877,4
"electronic, dance, funk, house, french",Pop,2013,322146,0.712,0.5,9,-11.948,0,0.0338,0.825,0.314,0.106,0.682,90.039,4
"electronic, instrumental, chillout, hip_hop, trip_hop, downtempo, chill",Rock,2011,272741,0.537,0.677,5,-8.573,0,0.0417,0.139,0.507,0.851,0.57,101.167,4
"electronic, indie, dance, electro",Electronic,2010,536471,0.739,0.611,11,-9.829,1,0.0622,0.00557,0.725,0.04,0.794,98.004,4
"electronic, chillout, soundtrack, trip_hop, downtempo, mellow, lounge, chill",Electronic,2014,285506,0.81,0.83,9,-6.917,0,0.0473,0.221,0.876,0.0664,0.605,92.002,4
"electronic, chillout, trip_hop, downtempo",Electronic,1998,318893,0.798,0.593,11,-12.44,1,0.215,0.00423,0.181,0.224,0.67,141.063,4
"electronic, alternative, indie, experimental",Electronic,2010,315506,0.697,0.917,1,-5.628,1,0.039,0.00331,0.069,0.388,0.629,118.045,4
"electronic, dance, electro",Electronic,2008,252266,0.769,0.806,0,-3.833,1,0.0873,0.0482,0.0627,0.705,0.517,120.001,4
"electronic, female_vocalists, chillout, trip_hop, downtempo",Rock,2011,222960,0.468,0.727,1,-7.99,0,0.0344,0.000631,0.166,0.102,0.17,170.352,4
"electronic, indie, female_vocalists, dance, electro, synthpop, swedish",Electronic,2003,228040,0.745,0.833,7,-5.884,0,0.0299,0.0274,0.000522,0.0785,0.687,129.961,4
"electronic, instrumental, dance, electro, beautiful",Electronic,2008,366866,0.745,0.696,4,-9.906,1,0.0533,0.846,0.893,0.101,0.33,104.97,4
"electronic, dance, house, techno, electro, french",Electronic,2008,406626,0.324,0.993,7,-2.155,1,0.37,0.0317,0.925,0.71,0.046,131.967,4
"electronic, rap, hip_hop, chill",Rap,2009,220906,0.564,0.715,10,-7.654,0,0.15,0.243,0.127,0.244,0.355,194.277,4
"electronic, alternative, female_vocalists, experimental, british, industrial, trip_hop",Electronic,2008,283440,0.565,0.575,11,-6.116,1,0.0409,0.015,0.00225,0.106,0.0601,105.12,4
"electronic, indie, dance, electro, synthpop, swedish",Electronic,2006,293640,0.598,0.706,2,-10.507,1,0.0392,0.107,0.907,0.114,0.373,128.568,4
"electronic, ambient, chillout, trip_hop, downtempo, french, lounge, chill",Rap,1998,154293,0.447,0.675,5,-7.298,0,0.035,0.224,0.141,0.0779,0.277,116.763,4
"electronic, dance, chillout, house, trip_hop, downtempo, lounge, chill",Rock,2004,299986,0.715,0.899,2,-7.435,0,0.111,0.0135,0.543,0.0619,0.157,94.091,4
"electronic, dance, new_wave, electro",Electronic,2008,212453,0.74,0.575,7,-6.829,1,0.0421,0.0137,0.263,0.0846,0.667,119.998,4
"electronic, ambient",Rock,2007,238426,0.624,0.852,1,-10.184,1,0.153,0.428,0.656,0.114,0.512,135.223,4
"electronic, dance, 90s, house, techno, electro, french",Electronic,2006,335026,0.745,0.716,11,-7.918,1,0.136,0.0265,0.846,0.246,0.828,126.527,4
"electronic, pop, rap, hip_hop, rnb, beautiful, 00s",Rock,2008,189906,0.644,0.487,6,-9.654,1,0.034,0.0287,0.0166,0.206,0.467,125.528,4
"electronic, pop, dance, 90s, funk",RnB,1996,243933,0.64,0.871,1,-10.393,0,0.0472,0.0424,0.0033,0.283,0.933,119.802,4
"electronic, female_vocalists, synthpop",Electronic,2010,230186,0.55,0.714,11,-5.836,0,0.0323,0.0202,0.00619,0.117,0.304,126.016,3
"electronic, drum_and_bass",Electronic,2008,313866,0.363,0.964,7,-4.1,0,0.0843,0.000261,0.152,0.172,0.243,174.033,4
"electronic, female_vocalists, ambient, chillout, trip_hop, downtempo, beautiful, lounge, chill",Folk,2001,259250,0.337,0.43,11,-13.196,0,0.0366,0.232,0.011,0.0916,0.17,112.028,5
"electronic, pop, dance, rap, hip_hop, rnb",Rap,2014,258120,0.654,0.539,5,-6.57,0,0.428,0.192,0.0,0.279,0.415,122.117,4
"electronic, alternative, indie, indie_rock, indie_pop, male_vocalists",Rock,2012,191333,0.598,0.873,5,-6.114,1,0.0368,0.194,0.0205,0.198,0.643,138.88,4
"electronic, instrumental, dance, house, techno, electro, french",Electronic,2008,458466,0.466,0.965,7,-2.576,1,0.129,0.456,0.891,0.949,0.0549,130.186,4
"electronic, dance",Electronic,2009,312960,0.579,0.989,5,-5.035,0,0.135,0.0128,0.794,0.73,0.0759,137.015,4
"electronic, alternative, female_vocalists, british, chillout, trip_hop",Electronic,2008,196600,0.696,0.674,7,-9.953,1,0.159,0.867,0.371,0.229,0.35,127.909,4
"electronic, ambient, instrumental, chillout, downtempo, beautiful, idm, chill",Electronic,2012,301267,0.307,0.682,11,-7.926,1,0.0421,0.301,0.701,0.0789,0.0339,167.931,4
"electronic, chillout, trip_hop, downtempo",Electronic,1998,492266,0.546,0.749,1,-8.345,0,0.0371,0.0109,0.378,0.0854,0.136,95.304,4
"electronic, instrumental, dance, house, techno, electro, french",Electronic,2007,220933,0.632,0.653,7,-7.384,1,0.214,0.0244,0.803,0.0943,0.353,121.971,4
"electronic, pop, dance, 00s",Pop,2009,182613,0.754,0.83,9,-5.686,1,0.0771,0.0329,0.0687,0.326,0.861,118.87,4
"electronic, pop, female_vocalists, dance",Rock,2009,220693,0.711,0.836,11,-4.997,1,0.0472,0.0335,1.18e-06,0.097,0.629,96.011,4
"electronic, drum_and_bass",Electronic,2011,206760,0.409,0.885,5,-5.196,0,0.0638,5.79e-05,0.0126,0.1,0.235,174.118,4
"electronic, ambient, chillout, trip_hop, downtempo, idm, chill",Electronic,2015,150280,0.635,0.565,4,-8.273,0,0.0526,0.0174,0.923,0.114,0.13,84.039,4
"electronic, ambient, instrumental, chillout, downtempo, idm, chill",Electronic,1998,307880,0.567,0.754,6,-13.227,1,0.0719,0.185,0.887,0.11,0.0446,188.017,4
"electronic, ambient, instrumental, chillout, downtempo, lounge, chill",Electronic,2001,210933,0.654,0.61,3,-9.874,0,0.0421,0.627,0.839,0.0829,0.437,119.003,4
"electronic, ambient, instrumental, chillout, 90s, trip_hop, downtempo, french, mellow, lounge",Electronic,1998,190866,0.505,0.513,2,-9.648,0,0.031,0.557,0.894,0.206,0.309,129.871,4
"electronic, alternative, indie, pop, female_vocalists, experimental, singer_songwriter, dance, 90s, trip_hop",Punk,1993,236640,0.723,0.726,1,-12.261,0,0.0933,5.88e-05,0.0122,0.149,0.52,118.589,4
"electronic, alternative, female_vocalists, experimental, british, trip_hop",Rock,2008,207573,0.353,0.553,2,-8.145,1,0.0856,0.753,0.0415,0.0861,0.0652,153.656,4
"electronic, pop, female_vocalists, dance, chillout, house, trip_hop",Rock,2011,221760,0.675,0.724,9,-9.844,0,0.115,0.529,0.00104,0.0901,0.672,127.981,4
"electronic, pop, female_vocalists, dance",Electronic,2009,190960,0.487,0.83,9,-4.299,0,0.0662,0.0344,1.52e-05,0.0766,0.458,121.009,4
"electronic, pop, female_vocalists, dance, piano, electro",Pop,2012,260000,0.823,0.53,10,-9.344,0,0.0579,0.804,0.782,0.105,0.8,100.002,4
"electronic, hip_hop, trip_hop",RnB,1996,117026,0.59,0.59,1,-7.125,0,0.0319,0.892,0.738,0.184,0.89,106.132,4
"electronic, dance, electro",Rock,2008,193693,0.604,0.608,8,-6.021,0,0.0344,1.09e-05,0.678,0.0933,0.736,111.932,4
"electronic, pop, dance, chillout, hip_hop, rnb, downtempo, 00s, chill",Rap,2008,377600,0.601,0.396,0,-10.168,0,0.03,0.562,0.158,0.108,0.352,172.558,4
"electronic, alternative, indie, pop, female_vocalists, singer_songwriter, dance, indie_pop, synthpop",RnB,2017,234661,0.597,0.733,9,-7.768,1,0.101,0.0151,2.09e-05,0.081,0.256,128.918,4
"electronic, indie, pop, dance, synthpop",Folk,2009,262756,0.592,0.899,11,-5.085,0,0.0362,0.00749,0.0174,0.326,0.207,128.008,4
"electronic, dance, funk, house, techno",Rock,2010,220373,0.733,0.94,8,-5.191,0,0.037,0.14,0.744,0.263,0.96,97.965,4
"electronic, pop, dance, house",Electronic,2014,209426,0.636,0.887,0,-3.192,0,0.0604,0.0225,0.00371,0.547,0.384,128.005,4
"electronic, dance, industrial, 90s, techno, drum_and_bass",Punk,2008,387066,0.667,0.998,6,-5.873,0,0.065,0.00137,0.439,0.302,0.351,149.006,4
"electronic, ambient, chillout, trip_hop, downtempo",Electronic,2003,398760,0.477,0.631,8,-10.503,1,0.0461,0.0232,0.599,0.584,0.0713,146.04,4
"electronic, female_vocalists, chillout, trip_hop, downtempo",Electronic,1998,252400,0.284,0.645,8,-7.67,1,0.0474,0.0281,0.0207,0.322,0.079,131.716,4
"electronic, alternative, female_vocalists, experimental, british, psychedelic, trip_hop",Electronic,2008,387786,0.56,0.913,3,-5.234,1,0.0353,0.502,0.582,0.295,0.414,126.996,4
"electronic, jazz, dance, chillout, house, trip_hop, downtempo, lounge, chill",Rock,2013,203653,0.758,0.814,7,-5.878,1,0.0526,0.00177,0.387,0.397,0.732,123.345,4
"electronic, experimental, electro",Electronic,2008,175520,0.705,0.843,11,-7.293,0,0.0301,0.0253,0.0117,0.103,0.689,121.029,4
"electronic, alternative, indie, indie_rock, chillout, piano, 00s, mellow",Electronic,2013,335480,0.39,0.37,7,-8.288,0,0.0457,0.474,0.00013,0.115,0.0909,176.526,3
"electronic, experimental, dance, electro, synthpop",Electronic,2008,177173,0.475,0.821,9,-7.034,0,0.0327,0.00266,0.00944,0.257,0.596,149.897,4
"electronic, ambient, dance, chillout, trip_hop",Electronic,2006,244773,0.516,0.873,0,-11.931,0,0.0563,0.000463,0.0142,0.951,0.503,123.033,4
"electronic, pop, female_vocalists, dance, trip_hop, electro",Electronic,2012,240240,0.743,0.796,3,-6.442,0,0.0366,0.13,0.00157,0.187,0.816,117.037,4
"electronic, female_vocalists, dance, electro",Electronic,2008,113800,0.484,0.839,1,-3.589,1,0.0569,1.6e-05,7.77e-05,0.21,0.448,161.078,4
"electronic, alternative, pop, dance, 80s, british, new_wave, synthpop",Electronic,1994,335533,0.605,0.907,0,-3.56,1,0.033,0.0158,0.0158,0.0697,0.965,117.511,4
"electronic, alternative, pop, 80s, british, new_wave, synthpop",Rock,1998,398333,0.527,0.978,0,-4.809,1,0.151,0.157,0.000112,0.976,0.367,113.645,4
"electronic, dance, house, swedish",Rock,2013,232924,0.581,0.747,6,-4.824,1,0.0408,0.00201,0.0129,0.155,0.536,125.018,4
"electronic, ambient, instrumental, chillout, trip_hop, downtempo, french, chill",Electronic,2004,279773,0.477,0.833,7,-8.271,1,0.0315,0.00226,0.848,0.171,0.555,169.968,4
"rock, electronic, alternative, pop, alternative_rock, punk, dance, techno",Rock,2005,260160,0.8,0.923,0,-8.963,0,0.0436,0.00987,0.486,0.0687,0.849,134.993,4
"electronic, alternative, indie, female_vocalists, indie_rock, indie_pop, love, beautiful, 00s, mellow",Rock,2009,230346,0.573,0.674,10,-6.537,1,0.0277,0.000228,0.169,0.103,0.385,132.036,4
"electronic, ambient, instrumental, soundtrack, electro, french",Rock,2010,96746,0.557,0.504,1,-13.53,1,0.0369,0.264,0.184,0.3,0.0652,102.019,4
"rock, electronic, alternative, indie, alternative_rock",Rock,2009,340800,0.521,0.904,3,-4.182,0,0.0884,0.00731,1.71e-05,0.387,0.263,115.961,4
"electronic, alternative, indie, pop, british, hip_hop, electro",Rock,2010,152453,0.664,0.576,10,-7.009,0,0.0368,0.0056,0.019,0.438,0.216,91.977,4
"electronic, alternative, indie, pop, female_vocalists, singer_songwriter, british, trip_hop, electro, indie_pop, mellow, chill",Pop,2005,216746,0.803,0.372,7,-10.426,0,0.0348,0.781,0.0,0.132,0.82,119.985,4
"electronic, indie, experimental, indie_rock, psychedelic, avant_garde",Rock,2009,240480,0.563,0.922,9,-3.686,1,0.18,0.0552,4.4e-05,0.155,0.322,107.989,3
"electronic, alternative, female_vocalists, experimental, british, trip_hop, rnb",Rock,2014,247547,0.48,0.717,0,-6.663,1,0.23,0.0625,0.000685,0.0814,0.335,109.756,4
"electronic, indie, pop, electro, indie_pop, beautiful",Rock,2009,243693,0.603,0.631,4,-5.336,0,0.042,0.0033,0.0,0.105,0.639,126.0,4
"electronic, dance, house, electro, synthpop",Rock,2011,235813,0.636,0.72,11,-6.195,1,0.0432,0.0893,0.0178,0.0868,0.425,124.944,4
"electronic, pop, female_vocalists, dance, hip_hop, funk",Pop,2012,284413,0.784,0.621,5,-7.399,1,0.0561,0.0442,0.00019,0.132,0.504,130.018,4
"electronic, alternative, 80s, british, new_wave, post_punk",Rock,1992,320333,0.365,0.944,11,-8.61,0,0.0622,0.000583,0.00552,0.756,0.345,158.5,4
"electronic, indie, pop, chillout, indie_pop, downtempo, mellow",Electronic,2009,298613,0.554,0.78,0,-5.017,1,0.0297,0.00296,0.0014,0.601,0.442,98.012,4
"electronic, ambient, british, chillout, downtempo",Electronic,2007,294243,0.624,0.665,0,-14.191,1,0.135,0.272,0.763,0.151,0.542,136.11,4
"rock, electronic, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2008,199360,0.443,0.717,5,-5.498,0,0.0504,0.182,5.1e-05,0.345,0.386,149.582,4
"electronic, pop, rap, hip_hop, american, rnb, male_vocalists, 00s, mellow",Rap,2008,238773,0.749,0.436,9,-11.99,1,0.0393,0.0288,0.201,0.114,0.167,106.171,4
"electronic, alternative, pop, dance, soul, hip_hop, funk, 00s, cover",Rock,2006,148066,0.753,0.853,10,-4.074,1,0.0463,0.0156,2.67e-06,0.127,0.967,164.05,4
"electronic, indie, pop, female_vocalists, dance, british, electro, indie_pop, britpop",Electronic,2009,173653,0.64,0.726,2,-5.828,1,0.123,0.00297,0.00403,0.0611,0.61,168.015,4
"electronic, pop, female_vocalists, dance",Electronic,2008,228413,0.648,0.664,4,-6.617,0,0.164,0.25,1.18e-06,0.33,0.484,127.917,4
"electronic, alternative, female_vocalists, ambient, dance, british, chillout, trip_hop, downtempo, beautiful, 00s, lounge, chill",Electronic,2005,228280,0.477,0.402,5,-10.631,0,0.0278,0.519,0.93,0.0847,0.0508,108.958,4
"electronic, pop, female_vocalists, singer_songwriter, dance, 00s",Latin,2011,213106,0.741,0.779,0,-5.904,1,0.0421,0.023,0.000788,0.12,0.834,100.001,4
"electronic, alternative, indie, female_vocalists, punk, indie_rock, dance, post_punk, electro",Pop,1999,184626,0.604,0.864,9,-3.382,0,0.0636,0.0602,0.00524,0.0804,0.625,160.475,4
"electronic, ambient, chillout, trip_hop, downtempo, mellow, lounge, chill",Jazz,2010,288266,0.227,0.542,8,-10.469,0,0.0476,0.0298,0.239,0.121,0.187,78.636,4
"electronic, british, chillout, trip_hop, downtempo",Electronic,2010,316627,0.723,0.346,0,-9.809,0,0.0336,0.507,0.0363,0.105,0.574,100.05,4
"electronic, pop, female_vocalists, dance",Pop,2010,183986,0.751,0.809,7,-5.461,1,0.0481,0.00197,0.00836,0.0668,0.653,120.013,4
"electronic, dance, industrial, soundtrack, 90s, techno",Metal,1997,339906,0.658,0.975,3,-7.204,0,0.0464,0.00671,0.706,0.074,0.393,120.047,4
"electronic, alternative, indie, pop, female_vocalists, british, chillout, trip_hop, indie_pop, downtempo, love, mellow, chill",Rock,2002,277333,0.75,0.722,4,-7.032,1,0.0308,0.277,0.00213,0.0627,0.759,97.493,4
"rock, electronic, alternative, indie, indie_rock, chillout, indie_pop, downtempo",Folk,2010,218106,0.546,0.627,6,-5.091,0,0.0276,0.123,3.68e-06,0.0923,0.41,143.996,4
"rock, electronic, alternative, indie, alternative_rock, indie_rock, british, psychedelic, britpop",Rock,2004,235480,0.542,0.895,2,-5.859,1,0.0577,0.0882,0.013,0.435,0.737,120.449,4
"electronic, 90s, hip_hop, trip_hop, downtempo",Electronic,1996,48529,0.714,0.523,11,-14.986,1,0.849,0.484,7.89e-06,0.175,0.509,106.806,3
"rock, electronic, alternative, indie, female_vocalists, alternative_rock, indie_rock, british, 00s",Rock,2010,146680,0.884,0.717,11,-5.958,0,0.0776,0.00126,0.000466,0.0866,0.672,128.942,4
"electronic, alternative, indie, pop, indie_rock, british",Rock,2012,236440,0.534,0.755,0,-4.943,1,0.043,0.000102,0.00226,0.0927,0.519,148.008,4
"electronic, alternative, dance, 80s, british, soundtrack, new_wave, post_punk, synthpop",Jazz,2013,607853,0.489,0.92,0,-7.832,1,0.0463,0.00197,0.775,0.679,0.347,130.01,4
"electronic, alternative, pop, dance, 00s",Pop,2004,271906,0.757,0.957,8,-4.617,1,0.106,0.209,2.29e-05,0.0624,0.933,153.944,4
"electronic, dance, electro, synthpop",Rock,2007,198560,0.66,0.714,6,-4.814,1,0.192,0.00474,0.0157,0.0647,0.79,97.17,4
"electronic, female_vocalists, chillout, trip_hop, downtempo, lounge, chill",Pop,1998,276560,0.439,0.72,7,-8.42,1,0.044,0.00123,0.117,0.116,0.255,161.953,4
"electronic, alternative, female_vocalists, ambient, chillout, swedish",Electronic,2009,225120,0.546,0.544,0,-8.55,1,0.0246,0.219,0.000367,0.121,0.248,90.982,4
"electronic, ambient, chillout, downtempo, idm, chill",Electronic,1998,75626,0.0936,0.0204,4,-31.212,0,0.042,0.995,0.936,0.139,0.291,80.879,4
"electronic, indie, pop, dance, electro, synthpop",Pop,2008,267573,0.542,0.861,9,-4.435,0,0.0433,0.01,0.0017,0.268,0.32,126.012,4
"electronic, dance, british, chillout, house, trip_hop",Electronic,2014,239840,0.786,0.915,9,-5.123,1,0.0683,0.00133,2.55e-05,0.146,0.947,129.013,4
"electronic, pop, female_vocalists, american, rnb, love, beautiful",Rock,2013,215946,0.47,0.792,0,-8.932,1,0.26,0.171,1.28e-06,0.313,0.214,170.085,4
"electronic, alternative, indie, female_vocalists, indie_rock, chillout, indie_pop, 00s, pop_rock",Blues,2008,194586,0.758,0.825,2,-5.72,1,0.0433,0.314,0.183,0.0464,0.948,134.944,4
"electronic, pop, 80s, new_wave, synthpop",Rock,2012,183466,0.803,0.573,6,-10.404,1,0.0453,0.349,0.00855,0.0389,0.6,126.291,4
"electronic, ambient, chillout, trip_hop, electro, downtempo, lounge, chill",Electronic,2001,271200,0.699,0.74,11,-9.303,0,0.033,0.0143,0.955,0.111,0.44,117.579,4
"electronic, alternative, indie, pop, chillout, beautiful",Jazz,2014,385653,0.501,0.774,7,-5.444,0,0.0385,0.0101,0.00153,0.0976,0.286,119.968,4
"electronic, dance, house, electro",Electronic,2014,340773,0.77,0.505,9,-6.654,0,0.0503,0.0076,0.835,0.0714,0.659,123.981,4
"electronic, pop, jazz, dance, chillout, funk, lounge",RnB,2005,237866,0.707,0.797,7,-7.143,1,0.0435,0.2,0.0,0.302,0.633,105.395,4
"electronic, pop, female_vocalists, dance, rnb, 00s",RnB,2008,201759,0.734,0.808,7,-6.418,1,0.0458,0.00755,0.187,0.0987,0.292,113.002,4
"electronic, alternative, alternative_rock, experimental, british, psychedelic, hip_hop, trip_hop, 00s",Rock,2001,272946,0.625,0.717,8,-11.376,0,0.0593,0.13,0.472,0.0842,0.831,95.738,4
"electronic, ambient, instrumental, chillout, downtempo, french, lounge, chill",Electronic,2004,266813,0.499,0.41,4,-10.927,0,0.0287,0.826,0.901,0.0972,0.48,158.086,4
"electronic, alternative, indie, pop, female_vocalists, experimental, chillout, 90s, trip_hop, beautiful",Rock,1993,236520,0.51,0.49,10,-12.164,0,0.028,0.000363,0.0971,0.142,0.37,77.335,4
"electronic, ambient, chillout, trip_hop, downtempo, lounge, chill",Electronic,2006,303013,0.622,0.665,11,-8.752,0,0.0362,0.16,0.936,0.279,0.457,115.014,4
"rock, electronic, alternative, pop, classic_rock, british, new_wave, 70s",Rock,2016,40480,0.642,0.739,2,-10.556,1,0.11,0.245,0.0313,0.0895,0.539,107.008,4
"rock, electronic, alternative, indie, alternative_rock, indie_rock, dance, british, britpop",Rock,2013,363213,0.635,0.695,4,-6.753,0,0.0446,0.262,0.00699,0.0881,0.346,127.112,4
"rock, electronic, indie, female_vocalists, indie_rock, dance, new_wave, 00s",Rock,2009,242080,0.633,0.874,4,-5.529,0,0.0253,0.000158,0.0838,0.533,0.492,105.003,4
"electronic, chillout, trip_hop, downtempo, lounge",Electronic,1998,328800,0.603,0.332,11,-14.89,0,0.0285,0.00574,0.489,0.348,0.284,90.04,4
"electronic, indie, ambient, indie_rock, british, love",Rock,2008,344706,0.362,0.922,2,-5.13,1,0.057,0.0513,0.0476,0.392,0.403,127.976,4
"electronic, indie, pop, swedish, chill",Rock,2009,248746,0.691,0.825,0,-6.536,1,0.0342,0.0103,0.088,0.186,0.592,113.956,4
"electronic, indie, female_vocalists, experimental, post_punk, electro, noise",Electronic,2010,97760,0.5,0.973,1,-3.795,0,0.369,0.00101,0.0129,0.4,0.803,183.994,4
"electronic, ambient, instrumental, chillout, trip_hop, downtempo, chill",Electronic,2005,260906,0.443,0.643,9,-7.007,0,0.0299,0.0199,0.891,0.112,0.333,170.016,3
"electronic, indie, indie_rock, dance, british, electro",Rock,2009,204266,0.766,0.863,9,-3.193,1,0.0499,0.00345,0.000117,0.0421,0.974,141.044,4
"electronic, alternative, pop, rap, hip_hop, trip_hop",Rock,2010,215506,0.645,0.777,2,-7.235,1,0.0418,0.00653,0.0039,0.119,0.331,88.455,4
"electronic, alternative, indie, alternative_rock, british, chillout, hip_hop, trip_hop, 00s, chill",Rock,2001,282973,0.579,0.586,7,-9.318,1,0.174,0.247,0.134,0.0968,0.42,81.75,4
"electronic, ambient, instrumental, chillout, trip_hop, downtempo, lounge, chill",Electronic,2003,322373,0.667,0.299,7,-8.98,0,0.0392,0.751,0.839,0.204,0.382,90.016,4
"electronic, ambient, experimental, psychedelic, hip_hop, trip_hop, beautiful, idm, chill",Electronic,2010,164640,0.346,0.753,10,-4.606,0,0.273,0.0229,0.0641,0.3,0.184,79.275,4
"electronic, ambient, chillout, trip_hop, downtempo, lounge, chill",Electronic,2010,226159,0.697,0.834,5,-6.47,0,0.0336,0.0263,0.937,0.0801,0.959,90.478,4
"electronic, pop, ambient, chillout, trip_hop, downtempo, french, lounge, chill",Jazz,2004,200880,0.527,0.429,9,-10.327,0,0.0282,0.397,0.801,0.0951,0.167,130.071,4
"electronic, indie, chillout, chill",Electronic,2010,167360,0.575,0.792,7,-4.651,1,0.0402,0.0987,0.275,0.157,0.526,100.56,4
"electronic, ambient, instrumental, chillout, downtempo",Electronic,2009,299920,0.454,0.782,9,-7.52,0,0.0395,0.00355,0.906,0.334,0.743,78.987,4
"electronic, indie, pop, british",Electronic,2010,280666,0.404,0.663,0,-5.312,0,0.0772,0.0165,0.0,0.0798,0.288,125.076,4
"electronic, ambient, experimental, chillout, idm",Electronic,1992,547133,0.599,0.406,4,-19.881,0,0.0368,0.822,0.933,0.112,0.326,134.762,4
"electronic, ambient, instrumental, chillout, trip_hop, downtempo, idm, chill",Electronic,2005,347466,0.643,0.825,1,-8.543,1,0.0352,0.197,0.961,0.116,0.766,96.728,4
"electronic, pop, female_vocalists, dance",Pop,2010,186840,0.6,0.939,7,-1.794,1,0.189,0.0657,6.06e-06,0.336,0.83,159.928,4
"electronic, indie, pop, dance, 80s, british, 90s, new_wave, post_punk",Electronic,1993,249133,0.507,0.87,5,-8.989,1,0.029,0.00074,0.0409,0.231,0.869,129.582,4
"electronic, ambient, instrumental, dance, chillout, 90s, trance, techno",Rock,2010,246706,0.604,0.768,0,-9.066,1,0.0331,0.000288,0.716,0.0789,0.432,137.056,4
"electronic, pop, female_vocalists, chillout, trip_hop, downtempo, chill",Electronic,2002,222839,0.69,0.529,2,-7.555,0,0.0313,0.276,5.32e-06,0.32,0.596,148.056,4
